dim,dataset,judge,n,n_valid
A_full_S3,annomi,claude,112,
A_full_S3,annomi,gemini,112,
A_full_S3,annomi,gpt,112,
A_full_S3,cactus,claude,200,
A_full_S3,cactus,gemini,200,
A_full_S3,cactus,gpt,200,
A_full_S3,cpsycoun,claude,200,
A_full_S3,cpsycoun,gemini,200,
A_full_S3,cpsycoun,gpt,200,
A_full_S3,esconv,claude,200,
A_full_S3,esconv,gemini,200,
A_full_S3,esconv,gpt,200,
A_full_S3,kmi,claude,200,
A_full_S3,kmi,gemini,200,
A_full_S3,kmi,gpt,200,
A_full_S3,kokorochat,claude,200,
A_full_S3,kokorochat,gemini,200,
A_full_S3,kokorochat,gpt,200,
A_full_S3,psy_insight,claude,200,
A_full_S3,psy_insight,gemini,200,
A_full_S3,psy_insight,gpt,200,
A_full_S3,psydial,claude,200,
A_full_S3,psydial,gemini,200,
A_full_S3,psydial,gpt,200,
A_full_S3,simpsydial,claude,200,
A_full_S3,simpsydial,gemini,200,
A_full_S3,simpsydial,gpt,200,
A_full_S3,smile,claude,199,
A_full_S3,smile,gemini,199,
A_full_S3,smile,gpt,199,
A_full_S3,soulchat,claude,200,
A_full_S3,soulchat,gemini,200,
A_full_S3,soulchat,gpt,200,
B_full_S3,annomi,claude,112,
B_full_S3,annomi,gemini,112,
B_full_S3,annomi,gpt,112,
B_full_S3,cactus,claude,200,
B_full_S3,cactus,gemini,200,
B_full_S3,cactus,gpt,200,
B_full_S3,cpsycoun,claude,200,
B_full_S3,cpsycoun,gemini,200,
B_full_S3,cpsycoun,gpt,200,
B_full_S3,esconv,claude,200,
B_full_S3,esconv,gemini,200,
B_full_S3,esconv,gpt,200,
B_full_S3,kmi,claude,200,
B_full_S3,kmi,gemini,200,
B_full_S3,kmi,gpt,200,
B_full_S3,kokorochat,claude,200,
B_full_S3,kokorochat,gemini,200,
B_full_S3,kokorochat,gpt,200,
B_full_S3,psy_insight,gemini,200,
B_full_S3,psy_insight,gpt,200,
B_full_S3,psydial,gemini,200,
B_full_S3,psydial,gpt,200,
B_full_S3,simpsydial,gemini,200,
