dataset,config,judge,none_scores_total,records_with_none
annomi,S1,gpt,0,0
annomi,S3,claude,0,0
annomi,S3,gemini,0,0
annomi,S3,gpt,0,0
cactus,S1,gpt,0,0
cactus,S3,claude,0,0
cactus,S3,gemini,0,0
cactus,S3,gpt,0,0
cpsycoun,S1,gpt,0,0
cpsycoun,S3,claude,0,0
cpsycoun,S3,gemini,0,0
cpsycoun,S3,gpt,0,0
esconv,S3,claude,36,3
esconv,S3,gemini,0,0
esconv,S3,gpt,0,0
kmi,S1,gpt,0,0
kmi,S3,claude,0,0
kmi,S3,gemini,0,0
kmi,S3,gpt,0,0
kokorochat,S1,gpt,48,4
kokorochat,S3,claude,0,0
kokorochat,S3,gemini,0,0
kokorochat,S3,gpt,0,0
psy_insight,S1,gpt,0,0
psy_insight,S3,claude,0,0
psy_insight,S3,gemini,0,0
psy_insight,S3,gpt,0,0
psydial,S1,gpt,0,0
psydial,S3,claude,0,0
psydial,S3,gemini,0,0
psydial,S3,gpt,0,0
simpsydial,S1,gpt,0,0
simpsydial,S3,claude,0,0
simpsydial,S3,gemini,0,0
simpsydial,S3,gpt,0,0
smile,S1,gpt,0,0
smile,S3,claude,0,0
smile,S3,gemini,0,0
smile,S3,gpt,0,0
soulchat,S1,gpt,0,0
soulchat,S3,claude,0,0
soulchat,S3,gemini,0,0
soulchat,S3,gpt,0,0
