dataset,j1,j2,n,pearson,spearman,mae,bias_j1_minus_j2
annomi,claude,gemini,112,0.9225,0.8968,0.3757,-0.1505
annomi,claude,gpt,112,0.9529,0.9365,0.1932,-0.1064
annomi,gemini,gpt,112,0.9361,0.8605,0.3562,0.0441
annomi,ALL,krippendorff_alpha,112,0.9491,,,
cactus,claude,gemini,200,0.8529,0.8412,0.2832,-0.2754
cactus,claude,gpt,200,0.8608,0.8393,0.174,-0.1293
cactus,gemini,gpt,200,0.8702,0.8586,0.2069,0.1461
cactus,ALL,krippendorff_alpha,200,0.861,,,
cpsycoun,claude,gemini,198,0.6572,0.6298,0.4174,-0.3542
cpsycoun,claude,gpt,198,0.5535,0.549,0.4799,-0.4696
cpsycoun,gemini,gpt,200,0.7556,0.7777,0.2832,-0.1132
cpsycoun,ALL,krippendorff_alpha,200,0.689,,,
esconv,claude,gemini,197,0.8243,0.8134,0.5909,-0.5478
esconv,claude,gpt,197,0.803,0.8527,0.2892,-0.2571
esconv,gemini,gpt,200,0.8544,0.8202,0.4496,0.2851
esconv,ALL,krippendorff_alpha,200,0.7844,,,
kmi,claude,gemini,200,0.6849,0.6908,0.4304,-0.4254
kmi,claude,gpt,200,0.6266,0.6141,0.1194,-0.0147
kmi,gemini,gpt,200,0.672,0.6534,0.421,0.4107
kmi,ALL,krippendorff_alpha,200,0.5634,,,
kokorochat,claude,gemini,199,0.8712,0.8394,0.4449,-0.3499
kokorochat,claude,gpt,199,0.8807,0.8437,0.2219,-0.1764
kokorochat,gemini,gpt,200,0.8219,0.7974,0.3858,0.1756
kokorochat,ALL,krippendorff_alpha,200,0.8489,,,
psy_insight,gemini,gpt,200,0.8889,0.8971,0.2547,0.0411
psydial,gemini,gpt,200,0.6539,0.5192,0.4714,0.4403
simpsydial,gemini,gpt,200,0.5038,0.5329,0.3776,0.3571
smile,gemini,gpt,199,0.7808,0.6527,0.6114,0.5717
soulchat,claude,gemini,200,0.6481,0.6593,0.6786,-0.6786
soulchat,claude,gpt,200,0.5302,0.4316,0.3719,-0.355
soulchat,gemini,gpt,200,0.6657,0.5398,0.3567,0.3236
soulchat,ALL,krippendorff_alpha,200,0.5663,,,
