stage,dataset,config,judge,judge_raw,judge_model,interaction_id,file,overall,average,CAC,EPC,AR,TRA,ACQ
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_77,AnnoMI_S3_claude_batch_judgments.jsonl,2.85,2.85,3.5,2.0,3.25,3.0,2.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_108,AnnoMI_S3_claude_batch_judgments.jsonl,3.75,3.75,3.5,4.0,3.5,3.5,4.25
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_25,AnnoMI_S3_claude_batch_judgments.jsonl,4.05,4.05,3.75,4.5,3.5,4.0,4.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_132,AnnoMI_S3_claude_batch_judgments.jsonl,3.85,3.85,3.75,4.0,3.5,4.25,3.75
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_103,AnnoMI_S3_claude_batch_judgments.jsonl,3.75,3.75,3.0,4.0,3.5,3.75,4.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_48,AnnoMI_S3_claude_batch_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_42,AnnoMI_S3_claude_batch_judgments.jsonl,3.65,3.65,3.0,4.0,3.75,3.75,3.75
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_24,AnnoMI_S3_claude_batch_judgments.jsonl,3.4,3.4,3.0,4.0,3.0,3.5,3.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_125,AnnoMI_S3_claude_batch_judgments.jsonl,2.6,2.6,2.5,3.5,2.5,2.5,2.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_23,AnnoMI_S3_claude_batch_judgments.jsonl,3.45,3.45,3.5,2.5,3.75,3.0,4.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_58,AnnoMI_S3_claude_batch_judgments.jsonl,3.75,3.75,3.5,3.5,3.75,4.0,4.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_119,AnnoMI_S3_claude_batch_judgments.jsonl,4.2,4.2,4.0,4.0,4.0,4.5,4.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_97,AnnoMI_S3_claude_batch_judgments.jsonl,4.35,4.35,4.5,4.5,4.0,4.75,4.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_28,AnnoMI_S3_claude_batch_judgments.jsonl,3.8,3.8,3.5,3.5,3.5,4.0,4.5
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_74,AnnoMI_S3_claude_batch_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_72,AnnoMI_S3_claude_batch_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_102,AnnoMI_S3_claude_batch_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_10,AnnoMI_S3_claude_batch_judgments.jsonl,1.6,1.6,2.0,2.0,1.0,1.0,2.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_106,AnnoMI_S3_claude_batch_judgments.jsonl,1.6,1.6,2.0,1.0,1.0,1.0,3.0
20,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_69,AnnoMI_S3_claude_batch_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_77,AnnoMI_S3_gemini_judgments.jsonl,1.8,1.8,1.5,1.0,2.0,2.0,2.5
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_108,AnnoMI_S3_gemini_judgments.jsonl,2.7,2.7,2.5,3.5,2.5,2.5,2.5
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_25,AnnoMI_S3_gemini_judgments.jsonl,5.3,5.3,5.5,5.0,5.0,5.0,6.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_132,AnnoMI_S3_gemini_judgments.jsonl,5.1,5.1,5.0,5.0,5.0,5.0,5.5
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_103,AnnoMI_S3_gemini_judgments.jsonl,4.5,4.5,4.5,5.0,4.5,5.0,3.5
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_48,AnnoMI_S3_gemini_judgments.jsonl,5.2,5.2,5.0,5.0,5.0,5.0,6.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_42,AnnoMI_S3_gemini_judgments.jsonl,5.0,5.0,4.5,5.0,5.0,5.0,5.5
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_24,AnnoMI_S3_gemini_judgments.jsonl,5.6,5.6,5.5,5.5,5.5,5.5,6.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_125,AnnoMI_S3_gemini_judgments.jsonl,2.2,2.2,2.0,4.0,2.0,2.0,1.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_23,AnnoMI_S3_gemini_judgments.jsonl,5.1,5.1,5.0,5.0,5.0,4.5,6.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_58,AnnoMI_S3_gemini_judgments.jsonl,3.4,3.4,3.5,4.5,3.5,3.5,2.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_119,AnnoMI_S3_gemini_judgments.jsonl,5.7,5.7,5.5,5.5,5.5,6.0,6.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_97,AnnoMI_S3_gemini_judgments.jsonl,5.7,5.7,5.5,5.5,5.5,6.0,6.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_28,AnnoMI_S3_gemini_judgments.jsonl,2.8,2.8,3.0,3.0,3.0,3.5,1.5
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_74,AnnoMI_S3_gemini_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_72,AnnoMI_S3_gemini_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_102,AnnoMI_S3_gemini_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_10,AnnoMI_S3_gemini_judgments.jsonl,1.4,1.4,1.0,2.0,1.0,1.0,2.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_106,AnnoMI_S3_gemini_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_69,AnnoMI_S3_gemini_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_77,AnnoMI_S3_gpt_judgments.jsonl,3.7,3.7,4.0,4.0,3.5,3.5,3.5
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_108,AnnoMI_S3_gpt_judgments.jsonl,3.4,3.4,3.5,4.0,3.0,3.5,3.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_25,AnnoMI_S3_gpt_judgments.jsonl,3.8,3.8,4.0,4.5,3.5,3.5,3.5
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_132,AnnoMI_S3_gpt_judgments.jsonl,4.3,4.3,4.0,5.0,3.5,4.5,4.5
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_103,AnnoMI_S3_gpt_judgments.jsonl,3.3,3.3,3.0,4.0,3.0,3.0,3.5
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_48,AnnoMI_S3_gpt_judgments.jsonl,3.9,3.9,3.5,4.5,3.5,4.0,4.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_42,AnnoMI_S3_gpt_judgments.jsonl,3.2,3.2,3.0,4.0,3.0,3.0,3.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_24,AnnoMI_S3_gpt_judgments.jsonl,3.7,3.7,4.0,4.5,3.5,3.5,3.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_125,AnnoMI_S3_gpt_judgments.jsonl,2.7,2.7,2.5,4.0,2.5,2.5,2.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_23,AnnoMI_S3_gpt_judgments.jsonl,3.85,3.85,4.0,4.5,4.25,3.5,3.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_58,AnnoMI_S3_gpt_judgments.jsonl,3.4,3.4,3.5,4.0,3.0,3.5,3.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_119,AnnoMI_S3_gpt_judgments.jsonl,3.95,3.95,4.0,4.5,3.75,3.75,3.75
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_97,AnnoMI_S3_gpt_judgments.jsonl,3.4,3.4,4.0,4.0,3.5,3.0,2.5
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_28,AnnoMI_S3_gpt_judgments.jsonl,3.1,3.1,3.5,2.5,3.5,3.0,3.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_74,AnnoMI_S3_gpt_judgments.jsonl,1.6,1.6,2.0,1.5,1.5,1.5,1.5
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_72,AnnoMI_S3_gpt_judgments.jsonl,2.1,2.1,2.5,2.0,2.0,2.0,2.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_102,AnnoMI_S3_gpt_judgments.jsonl,1.6,1.6,1.5,1.5,1.5,1.5,2.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_10,AnnoMI_S3_gpt_judgments.jsonl,2.4,2.4,3.0,3.0,2.0,2.0,2.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_106,AnnoMI_S3_gpt_judgments.jsonl,2.4,2.4,3.0,2.0,2.0,2.0,3.0
20,annomi,S3,gpt,gpt,gpt-5.1,annomi_69,AnnoMI_S3_gpt_judgments.jsonl,1.3,1.3,1.0,1.0,1.0,1.5,2.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_77,AnnoMI_S3_qwen_thinking_judgments.jsonl,2.55,2.55,2.25,2.25,3.0,3.0,2.25
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_108,AnnoMI_S3_qwen_thinking_judgments.jsonl,2.25,2.25,2.75,2.5,2.25,2.0,1.75
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_25,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.4,1.4,1.5,1.75,1.25,1.5,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_132,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
