dataset,judge,n_common,pct_identical_overall,pilot_model,full_model_on_common
annomi,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
annomi,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
annomi,gpt,20,100.0,gpt-5.1,gpt-5.1
cpsycoun,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
cpsycoun,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
cpsycoun,gpt,20,100.0,gpt-5.1,gpt-5.1
esconv,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
esconv,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
esconv,gpt,20,100.0,gpt-5.1,gpt-5.1
kmi,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
kmi,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
kmi,gpt,20,100.0,gpt-5.1,gpt-5.1
kokorochat,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
kokorochat,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
kokorochat,gpt,20,100.0,gpt-5.1,gpt-5.1
psy_insight,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
psy_insight,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
psy_insight,gpt,20,100.0,gpt-5.1,gpt-5.1
psydial,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
psydial,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
psydial,gpt,20,10.0,gpt-5.1,openai/cx/gpt-5.5
soulchat,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
soulchat,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
soulchat,gpt,20,15.0,gpt-5.1,openai/cx/gpt-5.5
cactus,claude,20,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
cactus,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
cactus,gpt,20,100.0,gpt-5.1,gpt-5.1
simpsydial,claude,20,20.0,anthropic/claude-sonnet-4-6,openai/cc/claude-sonnet-4-6
simpsydial,gemini,20,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
simpsydial,gpt,20,5.0,gpt-5.1,openai/cx/gpt-5.5
smile,claude,19,100.0,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6
smile,gemini,19,100.0,openai/ag/gemini-3.1-pro-low,openai/ag/gemini-3.1-pro-low
smile,gpt,19,100.0,gpt-5.1,gpt-5.1
